id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price
41729826,75007.0,48.852759999999996,2.32325,Palais-Bourbon,1,3.0,Entire home/apt,2.5,4.0,Bed,6,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,0,0,0,0.0,0,0.32,30,1125,30,91,180,1125,90.6,186.4,362,1,strict,security_deposit_1,0,0.0,266.0
39596900,75002.0,48.86668,2.3458799999999997,Bourse,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,1,1,1,0,0,0,0,1,0,2.27,14,14,0,0.0,1,0.56,3,1125,3,3,1125,1125,3.0,1125.0,172,1,flexible,security_deposit_1,0,65.0,150.0
34580854,75015.0,48.83435,2.2921400000000003,Vaugirard,1,3.0,Entire home/apt,2.0,4.0,Bed,5,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1.27,14,14,1,3.0,1,5.1,2,1125,2,2,1125,1125,2.0,1125.0,161,0,strict,security_deposit_1,0,120.0,230.0
27016839,75019.0,48.88536,2.37356,Buttes-Chaumont,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0.69,15,6,0,1.0,1,1.82,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,79.0,90.0
36838456,75008.0,48.87451,2.30015,Élysée,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0.73,6,6,0,1.0,1,0.82,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,52.0,54.0
29526532,75014.0,48.83372,2.31692,Observatoire,1,1.0,Entire home/apt,1.5,1.0,Bed,2,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0.26,4,1,0,0.0,1,1.56,7,30,7,7,1125,1125,7.0,1125.0,0,1,moderate,security_deposit_1,0,50.0,80.0
22063324,75011.0,48.85228,2.39138,Popincourt,1,1.0,Shared room,1.0,1.0,Bed,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.44,13,1,0,2.0,1,8.46,2,7,2,2,7,7,2.0,7.0,48,0,flexible,security_deposit_n,0,,35.0
27562777,75020.0,48.8528,2.39889,Ménilmontant,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0.67,14,1,0,1.0,1,1.76,3,1125,2,3,1125,1125,2.7,1125.0,0,0,flexible,security_deposit_1,0,52.0,52.0
29309573,75011.0,48.85348,2.38917,Popincourt,1,0.0,Entire home/apt,1.0,2.0,Bed,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.95,17,13,0,1.0,1,4.71,2,1125,2,2,1125,1125,2.0,1125.0,0,0,strict,security_deposit_n,0,,80.0
22349556,75009.0,48.882,2.34061,Opéra,1,2.0,Entire home/apt,1.0,3.0,Bed,6,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0.31,7,4,0,209.0,1,2.65,1,1125,1,7,7,1125,3.9,39.7,1,1,strict,security_deposit_1,1,177.0,262.0
